,audio_path,label
0,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_1.pt,1
1,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_2.pt,1
2,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_3.pt,1
3,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_4.pt,1
4,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_5.pt,1
5,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_6.pt,1
6,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_7.pt,1
7,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_8.pt,1
8,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_9.pt,1
9,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_10.pt,1
10,data/audio/preprocessed/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_11.pt,1
11,data/audio/preprocessed/425_Antfood_Jets_part_1.pt,1
12,data/audio/preprocessed/425_Antfood_Jets_part_2.pt,1
13,data/audio/preprocessed/17150838_Converse_LTR_DrSpaceman_LIB_170724_part_1.pt,1
14,data/audio/preprocessed/17150838_Converse_LTR_DrSpaceman_LIB_170724_part_2.pt,1
15,data/audio/preprocessed/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_1.pt,1
16,data/audio/preprocessed/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_2.pt,1
17,data/audio/preprocessed/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_3.pt,1
18,data/audio/preprocessed/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_4.pt,1
