audio_path,label
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_1.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_2.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_3.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_4.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_5.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_6.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_7.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_8.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_9.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_10.wav,1
data/balanced_audio_split/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt_part_11.wav,1
data/balanced_audio_split/425_Antfood_Jets_part_1.wav,1
data/balanced_audio_split/425_Antfood_Jets_part_2.wav,1
data/balanced_audio_split/17150838_Converse_LTR_DrSpaceman_LIB_170724_part_1.wav,1
data/balanced_audio_split/17150838_Converse_LTR_DrSpaceman_LIB_170724_part_2.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_1.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_2.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_3.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_4.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_5.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_6.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_7.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_8.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_9.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_10.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_11.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_12.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_13.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_14.wav,1
data/balanced_audio_split/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT_part_15.wav,1
