audio_path,temp
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_1.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_2.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_3.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_4.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_5.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_6.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_7.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_8.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_9.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_10.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_11.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_12.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_13.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_14.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_15.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_16.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_17.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_18.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_19.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_20.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_21.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_22.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_23.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_24.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_25.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_26.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_27.wav,65
data/split_audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14_part_28.wav,65
